"NAME","EXTERNAL","POSTALCODE","OPPTYPE","PROVIDERLONGID","PROVIDERNAME","EVENTNAME","STARTDATE","ENDDATE","VOLID","STATUS","VOLLONGID","FIRSTNAME","SURNAME","EMAIL","MOBILE","SESSIONNAME","SESSIONID","SESSIONDATE","SESSIONSTARTTIME","SESSIONHOURS","HOURSLOGGED","HOURSLOGGEDPROVIDER","ATTENDED","JOINEDON","PLACEMENTID","PROVIDERCHECKED","TEAMLEADERCHECKED"
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","11","2025-10-17","17:00","2","1","1","True","22/10/2025 19:00:00","2","True","False"
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","12","2025-10-18","17:00","2","1","1","True","22/10/2025 19:00:00","2","True","False"
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","13","2025-10-19","17:00","2","1","1","True","22/10/2025 19:00:00","2","True","False"
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","14","2025-10-20","17:00","2","1","1","True","22/10/2025 19:00:00","2","True","False"
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","15","2025-10-21","17:00","2","1","1","True","22/10/2025 19:00:00","2","True","False"
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","16","2025-10-22","17:00","2","1","1","True","22/10/2025 19:00:00","2","True","False"
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","17","2025-10-23","17:00","2","0","0","False","22/10/2025 19:00:00","2","False","False"
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","18","2025-10-24","17:00","2","0","0","False","22/10/2025 19:00:00","2","False","False"
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","19","2025-10-25","17:00","2","0","0","False","22/10/2025 19:00:00","2","False","False"
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","20","2025-10-26","17:00","2","0","0","False","22/10/2025 19:00:00","2","False","False"
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","21","2025-10-27","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","22","2025-10-28","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","23","2025-10-29","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","24","2025-10-30","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","25","2025-10-31","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","26","2025-11-01","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","27","2025-11-02","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","28","2025-11-03","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","29","2025-11-04","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","30","2025-11-05","17:00","2","","","","","2","",""
"Birmingham City Football Club - Helping out coaching young kids that are part of the Birmingham City training camp.","Fully Managed","B154FG","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-08","2025-11-06","","Joined","","","","","","","31","2025-11-06","17:00","2","","","","","2","",""
"Birmingham City Football Club - Stewarding, and post match cleanups, you will be able to watch the big game.","Fully Managed","B154FG","Flexible","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-22","2025-11-21","363","Applied","9FFDEC37-2E3B-411D-A259-E2448CC26F4D","Carol","Forbes","vulputate.dui.nec@estarcu.ca","7748455524","","","","","","","","","","1","",""
"Birmingham City Football Club - Stewarding, and post match cleanups, you will be able to watch the big game.","Fully Managed","B154FG","Flexible","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-22","2025-11-21","370","Applied","D30466DF-3093-48A4-9267-C33495F991CD","Cheryl","Keller","diam.nunc@egestaslacinia.ca","7035439447","","","","","","","","","","1","",""
"Birmingham City Football Club - Stewarding, and post match cleanups, you will be able to watch the big game.","Fully Managed","B154FG","Flexible","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Summer Football Fair","2025-10-22","2025-11-21","","Joined","","","","","","","1","2025-11-21","10:20","2","","","","","1","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","243","Applied","829FF568-42AD-4853-9346-8F0EFB4148F3","Aimee","Fernandez","mus.Donec@necurnaet.org","7174814839","","","","","","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","497","Applied","AC9776A1-E341-4E7A-8D78-986B4AD1CF77","Akeem","Mckenzie","olor.dapibus.gravida@metus.edu","7171733308","","","","","","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","399","Applied","7F3724A6-A9C7-4F4E-9283-E5920DCAAE80","Aladdin","Hogan","m.interdum@condimentumeget.edu","7433679370","","","","","","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","26","Applied","C3C820D2-984A-40AF-A07A-65DE54C97E20","Alfonso","Moore","tum.placerat@orciPhasellus.org","7859631196","","","","","","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","259","Applied","D05A3444-C7CD-4E17-9155-BE60214CD326","Buckminster","Nicholson","nibh.enim@orciUt.org","7681082096","","","","","","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","32","2025-10-08","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","33","2025-10-09","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","34","2025-10-10","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","35","2025-10-11","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","36","2025-10-12","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","37","2025-10-13","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","38","2025-10-14","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","39","2025-10-15","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","40","2025-10-16","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","41","2025-10-17","12:00","2","1","1","True","22/10/2025 19:00:00","3","True","False"
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","42","2025-10-18","12:00","2","1","1","True","22/10/2025 19:00:00","3","True","False"
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","43","2025-10-19","12:00","2","1","1","True","22/10/2025 19:00:00","3","True","False"
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","44","2025-10-20","12:00","2","1","1","True","22/10/2025 19:00:00","3","True","False"
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","45","2025-10-21","12:00","2","1","1","True","22/10/2025 19:00:00","3","True","False"
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","46","2025-10-22","12:00","2","1","1","True","22/10/2025 19:00:00","3","True","False"
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","47","2025-10-23","12:00","2","0","0","False","22/10/2025 19:00:00","3","False","False"
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","48","2025-10-24","12:00","2","0","0","False","22/10/2025 19:00:00","3","False","False"
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","49","2025-10-25","12:00","2","0","0","False","22/10/2025 19:00:00","3","False","False"
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","3","Joined","E194E8D3-48E4-4951-9F12-9FA466C5BC35","Margaret","Pugh","demo@teamkinetic.co.uk","7676032768","","50","2025-10-26","12:00","2","0","0","False","22/10/2025 19:00:00","3","False","False"
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","51","2025-10-27","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","52","2025-10-28","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","53","2025-10-29","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","54","2025-10-30","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","55","2025-10-31","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","56","2025-11-01","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","57","2025-11-02","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","58","2025-11-03","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","59","2025-11-04","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","60","2025-11-05","12:00","2","","","","","3","",""
"Duel in the Pool Event - Come and join some of the top swimmers in the country.","Fully Managed","B338QN","Sessional","4351CDC1-3DDF-434F-8342-2B2D1CCD1A47","First Choice Sports","Swimming Gala","2025-10-08","2025-11-06","","Joined","","","","","","","61","2025-11-06","12:00","2","","","","","3","",""
